"date","BUD","RI.PA","HEINY"
"2011-07-28",45.82766,60.1847,25.229471
"2011-07-29",45.106953,59.140842,25.392294
"2011-07-30",45.106953,59.140842,25.392294
"2011-07-31",45.106953,59.140842,25.392294
"2011-08-01",44.950272,58.884159,24.938095
"2011-08-02",43.877048,58.054195,24.518175
"2011-08-03",43.822208,57.189999,24.595303
"2011-08-04",41.652245,54.931149,23.498373
"2011-08-05",42.553131,54.375004,23.995417
"2011-08-06",42.553131,54.375004,23.995417
"2011-08-07",42.553131,54.375004,23.995417
"2011-08-08",40.218666,51.534321,22.195761
"2011-08-09",41.385899,51.773891,23.04417
"2011-08-10",38.949593,49.455158,22.581406
"2011-08-11",40.351837,51.303307,22.967045
"2011-08-12",42.756809,53.142902,22.915628
"2011-08-13",42.756809,53.142902,22.915628
"2011-08-14",42.756809,53.142902,22.915628
"2011-08-15",43.454018,53.878742,23.704046
"2011-08-16",43.743866,54.332226,23.249847
"2011-08-17",44.041557,53.716175,23.678337
"2011-08-18",42.842983,50.653038,22.74423
"2011-08-19",42.200623,48.616646,22.144341
"2011-08-20",42.200623,48.616646,22.144341
"2011-08-21",42.200623,48.616646,22.144341
"2011-08-22",42.607964,49.669067,22.290031
"2011-08-23",43.516685,48.984566,22.452856
"2011-08-24",42.41996,49.378151,20.987423
"2011-08-25",41.761925,49.823086,20.31041
"2011-08-26",42.216274,50.533257,20.618916
"2011-08-27",42.216274,50.533257,20.618916
"2011-08-28",42.216274,50.533257,20.618916
"2011-08-29",42.866478,51.337528,20.918865
"2011-08-30",42.91349,52.723637,21.030275
"2011-08-31",43.289509,53.476597,21.49304
"2011-09-01",42.897823,52.834877,21.147312
"2011-09-02",42.592297,52.96323,21.034966
"2011-09-03",42.592297,52.96323,21.034966
"2011-09-04",42.592297,52.96323,21.034966
"2011-09-05",42.592297,50.028439,21.034966
"2011-09-06",41.432899,50.901165,20.620144
"2011-09-07",41.808926,52.595306,20.827555
"2011-09-08",41.299725,53.023117,20.343596
"2011-09-09",39.983658,51.594215,19.859636
"2011-09-10",39.983658,51.594215,19.859636
"2011-09-11",39.983658,51.594215,19.859636
"2011-09-12",39.341282,49.925747,19.643583
"2011-09-13",39.302116,49.429485,19.67815
"2011-09-14",39.568455,50.849827,20.17075
"2011-09-15",40.344009,52.475525,20.248531
"2011-09-16",41.166553,52.107601,20.309025
"2011-09-17",41.166553,52.107601,20.309025
"2011-09-18",41.166553,52.107601,20.309025
"2011-09-19",40.461514,50.8755,19.747288
"2011-09-20",41.18222,52.629524,20.023834
"2011-09-21",40.304825,52.552521,19.574446
"2011-09-22",39.168938,51.251972,19.099131
"2011-09-23",40.08548,51.380314,19.220118
"2011-09-24",40.08548,51.380314,19.220118
"2011-09-25",40.08548,51.380314,19.220118
"2011-09-26",41.213554,52.869118,19.531235
"2011-09-27",42.318119,52.96323,19.911488
"2011-09-28",41.895088,52.869118,19.34111
"2011-09-29",42.224113,51.714008,19.634941
"2011-09-30",41.503407,50.336456,19.125051
"2011-10-01",41.503407,50.336456,19.125051
"2011-10-02",41.503407,50.336456,19.125051
"2011-10-03",41.174385,52.073376,18.667017
"2011-10-04",41.902935,50.892605,18.502821
"2011-10-05",41.495575,51.559998,18.857147
"2011-10-06",41.738415,53.125797,19.280613
"2011-10-07",40.547676,52.93755,19.099131
"2011-10-08",40.547676,52.93755,19.099131
"2011-10-09",40.547676,52.93755,19.099131
"2011-10-10",42.090935,53.553608,19.565807
"2011-10-11",42.004768,53.391037,19.643583
"2011-10-12",42.357285,54.434895,20.136185
"2011-10-13",42.686306,54.126869,20.317669
"2011-10-14",43.375683,55.821007,20.576931
"2011-10-15",43.375683,55.821007,20.576931
"2011-10-16",43.375683,55.821007,20.576931
"2011-10-17",42.380791,53.776066,20.006554
"2011-10-18",43.117165,53.981415,20.490509
"2011-10-19",42.553131,55.273415,20.17075
"2011-10-20",42.725475,56.479851,20.576931
"2011-10-21",43.696861,57.917297,21.268305
"2011-10-22",43.696861,57.917297,21.268305
"2011-10-23",43.696861,57.917297,21.268305
"2011-10-24",43.869209,57.652058,21.441149
"2011-10-25",42.98399,57.001774,21.251022
"2011-10-26",43.297344,57.121563,21.544853
"2011-10-27",44.574253,58.832825,22.037455
"2011-10-28",44.456745,59.021065,21.84733
"2011-10-29",44.456745,59.021065,21.84733
"2011-10-30",44.456745,59.021065,21.84733
"2011-10-31",43.454018,57.754734,20.922617
"2011-11-01",42.827316,56.822098,20.110256
"2011-11-02",42.365128,57.249924,20.006554
"2011-11-03",43.469685,58.618919,20.464586
"2011-11-04",42.709808,57.883072,20.334955
"2011-11-05",42.709808,57.883072,20.334955
"2011-11-06",42.709808,57.883072,20.334955
"2011-11-07",43.250336,57.763283,20.447302
"2011-11-08",44.652588,58.559013,20.784349
"2011-11-09",44.033718,58.182549,19.911488
"2011-11-10",45.012939,57.977188,19.65222
"2011-11-11",46.446522,60.28738,20.291744
"2011-11-12",46.446522,60.28738,20.291744
"2011-11-13",46.446522,60.28738,20.291744
